Tanggal,Jenis Pajak,Nominal (Milyar)
30/04/2024,PPN Dalam Negeri,5619.83
30/04/2024,PPh 21,1138.65
30/04/2024,PPN Impor,713.62
31/05/2024,PPh Badan,3230.57
31/05/2024,PPN Dalam Negeri,6045.32
31/05/2024,PPh 21,1234.18
31/05/2024,PPN Impor,740.84
30/06/2024,PPh Badan,3133.19
30/06/2024,PPN Dalam Negeri,5052.27
30/06/2024,PPh 21,1205.71
30/06/2024,PPN Impor,721.47
31/07/2024,PPh Badan,3058.36
31/07/2024,PPN Dalam Negeri,4704.85
31/07/2024,PPh 21,1121.59
31/07/2024,PPN Impor,687.32
31/08/2024,PPh Badan,3187.29
31/08/2024,PPN Dalam Negeri,4970.5
31/08/2024,PPh 21,1195.81
31/08/2024,PPN Impor,840.56
30/09/2024,PPh Badan,3374.82
30/09/2024,PPN Dalam Negeri,5146.03
30/09/2024,PPh 21,1200.49
30/09/2024,PPN Impor,687.35
31/10/2024,PPh Badan,2982.3
31/10/2024,PPN Dalam Negeri,4441.61
31/10/2024,PPh 21,1060.04
31/10/2024,PPN Impor,615.1
30/11/2024,PPh Badan,3247.84
30/11/2024,PPN Dalam Negeri,4860.02
30/11/2024,PPh 21,1153.51
30/11/2024,PPN Impor,672.17
31/12/2024,PPh Badan,3255.49
31/12/2024,PPN Dalam Negeri,5702.68
31/12/2024,PPh 21,1429.35
31/12/2024,PPN Impor,679.96
31/01/2025,PPh Badan,3125.85
31/01/2025,PPN Dalam Negeri,4794.29
31/01/2025,PPh 21,1102.62
31/01/2025,PPN Impor,637.17
28/02/2025,PPh Badan,3307.66
28/02/2025,PPN Dalam Negeri,5131.49
28/02/2025,PPh 21,1224.02
28/02/2025,PPN Impor,790.44
31/03/2025,PPh Badan,3036.64
31/03/2025,PPN Dalam Negeri,4694.62
31/03/2025,PPh 21,1217.46
31/03/2025,PPN Impor,747.76
30/04/2025,PPh Badan,7742.12
30/04/2025,PPN Dalam Negeri,5699.29
30/04/2025,PPh 21,1158.52
30/04/2025,PPN Impor,658.15
31/05/2025,PPh Badan,2985.59
31/05/2025,PPN Dalam Negeri,5573.34
31/05/2025,PPh 21,1126.54
31/05/2025,PPN Impor,637.69
30/06/2025,PPh Badan,3091.22
30/06/2025,PPN Dalam Negeri,4838.2
30/06/2025,PPh 21,1149.63
30/06/2025,PPN Impor,716.5
31/07/2025,PPh Badan,2830.46
31/07/2025,PPN Dalam Negeri,4574.67
31/07/2025,PPh 21,1088.37
31/07/2025,PPN Impor,621.03
31/08/2025,PPh Badan,2841.85
31/08/2025,PPN Dalam Negeri,4471.38
31/08/2025,PPh 21,1050.1
31/08/2025,PPN Impor,667.04
30/09/2025,PPh Badan,3336.63
30/09/2025,PPN Dalam Negeri,5178.2
30/09/2025,PPh 21,1238.48
30/09/2025,PPN Impor,752.1
31/10/2025,PPh Badan,2887.71
31/10/2025,PPN Dalam Negeri,4603.08
31/10/2025,PPh 21,1104.32
31/10/2025,PPN Impor,583.5
30/11/2025,PPh Badan,2810.62
30/11/2025,PPN Dalam Negeri,4548.31
30/11/2025,PPh 21,1064.01
30/11/2025,PPN Impor,724.06
31/12/2025,PPh Badan,2607.04
31/12/2025,PPN Dalam Negeri,4960.92
31/12/2025,PPh 21,1240.14
31/12/2025,PPN Impor,694.1
